                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91176,                 2.7967,                  1.381,                0.51279,                0.42994,                0.35547,                0.17853,                 1.3231,                 5.1666,                 1.7573,             0.00025245,             0.00025245,             0.00025245
                      2,                 1.0735,                 2.3059,                 1.4933,                0.17147,                0.41458,                0.15821,                0.06603,                 1.7655,                 6.3158,                 2.1863,              0.0004836,              0.0004836,              0.0004836
                      3,                 1.1547,                 2.2896,                 1.5431,                0.55945,                0.20184,                0.21269,                0.10929,                 2.2238,                 5.6222,                 2.7756,             0.00068937,             0.00068937,             0.00068937
                      4,                 1.1696,                 2.0953,                 1.5392,                0.45713,                0.42868,                0.35318,                0.14509,                 1.8026,                 3.7731,                 2.1467,              0.0006548,              0.0006548,              0.0006548
                      5,                 1.1051,                 1.9897,                 1.4946,                0.62232,                0.64319,                 0.6574,                0.33442,                 1.3343,                 2.3096,                 1.5926,              0.0006548,              0.0006548,              0.0006548
                      6,                 1.0746,                 1.8956,                 1.4712,                0.68318,                0.65494,                0.70447,                0.38846,                 1.3343,                 1.6668,                 1.6345,             0.00061674,             0.00061674,             0.00061674
                      7,                 1.0435,                 1.7478,                 1.4417,                0.55145,                0.64061,                0.67603,                0.29351,                 1.7209,                 2.1926,                 1.9848,             0.00057867,             0.00057867,             0.00057867
                      8,                0.93641,                 1.6276,                 1.3728,                0.68461,                0.70812,                0.77589,                0.48243,                 1.1937,                 1.5911,                 1.4281,             0.00054061,             0.00054061,             0.00054061
                      9,                0.94868,                 1.5799,                 1.3892,                 0.5981,                0.77529,                0.80928,                0.50727,                 1.2299,                 1.5024,                 1.4719,             0.00050254,             0.00050254,             0.00050254
                     10,                0.92417,                 1.5442,                 1.3609,                0.70962,                0.80873,                0.81717,                0.53297,                 1.1244,                 1.3457,                 1.4119,             0.00046448,             0.00046448,             0.00046448
                     11,                 1.1256,                 1.5001,                 1.6816,                0.85287,                0.81263,                0.86776,                0.57642,                 1.1782,                 1.3082,                 1.4591,             0.00042641,             0.00042641,             0.00042641
                     12,                 1.0485,                 1.3137,                 1.6371,                0.77925,                0.80909,                0.83849,                0.58711,                  1.004,                 1.2152,                 1.2897,             0.00038835,             0.00038835,             0.00038835
                     13,                 1.0299,                 1.2485,                 1.6126,                0.84099,                0.83475,                0.86255,                0.57751,                 1.0958,                 1.2093,                 1.3527,             0.00035028,             0.00035028,             0.00035028
                     14,                0.99911,                 1.1979,                 1.5671,                0.79314,                0.88533,                0.89771,                0.62853,                0.96686,                 1.1054,                 1.2814,             0.00031221,             0.00031221,             0.00031221
                     15,                0.93151,                 1.0998,                 1.5106,                0.88811,                0.86901,                0.90298,                0.68404,                0.89072,                 1.0067,                 1.2296,             0.00027415,             0.00027415,             0.00027415
                     16,                0.88991,                 1.0109,                 1.4622,                0.82779,                0.90325,                0.91745,                0.67245,                0.94329,                 1.0018,                 1.2762,             0.00023608,             0.00023608,             0.00023608
                     17,                0.83369,                0.93964,                  1.431,                0.87497,                  0.851,                0.89023,                0.66172,                0.90946,                0.97219,                 1.2365,             0.00019802,             0.00019802,             0.00019802
                     18,                0.77239,                0.87325,                 1.3857,                0.84594,                 0.8802,                0.89925,                 0.6879,                0.84414,                 0.8933,                 1.1796,             0.00015995,             0.00015995,             0.00015995
                     19,                0.75232,                 0.8046,                 1.3708,                0.90021,                 0.9028,                0.94062,                 0.7298,                0.80988,                0.82952,                 1.1469,             0.00012189,             0.00012189,             0.00012189
                     20,                0.69369,                0.75638,                 1.3195,                0.86734,                 0.9026,                0.94029,                0.73318,                 0.7956,                0.79857,                 1.1277,             8.3821e-05,             8.3821e-05,             8.3821e-05
